date,spotify_streams,spotify_listeners,spotify_replay_rate,spotify_saves,save_rate,spotify_skips,apple_music_streams,number_of_shazams
2026-03-14,4100,2950,0.31,430,0.105,360,1450,210
2026-03-15,9800,6900,0.36,1180,0.120,780,3320,540
2026-03-16,8200,6200,0.35,1020,0.124,700,2900,470
2026-03-17,7600,5800,0.35,960,0.126,680,2700,430
2026-03-18,7020,5520,0.34,920,0.131,650,2520,395
2026-03-19,6700,5300,0.34,890,0.133,620,2400,380
2026-03-20,6430,5100,0.33,860,0.134,605,2320,360
2026-03-21,6180,4920,0.33,835,0.135,590,2210,345
2026-03-22,5890,4760,0.32,800,0.136,575,2140,332
2026-03-23,5610,4580,0.32,770,0.137,555,2050,318
2026-03-24,5380,4430,0.31,742,0.138,540,1960,304
2026-03-25,5170,4290,0.31,718,0.139,525,1880,296
